"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/06/2022 00:05:00","CAPITL",61757,97.88,7.42,0.00
"08/06/2022 00:05:00","CENTRL",61754,91.90,1.44,0.00
"08/06/2022 00:05:00","DUNWOD",61760,99.59,9.13,0.00
"08/06/2022 00:05:00","GENESE",61753,91.55,1.09,0.00
"08/06/2022 00:05:00","H Q",61844,87.93,-2.53,0.00
"08/06/2022 00:05:00","HUD VL",61758,98.14,7.68,0.00
"08/06/2022 00:05:00","LONGIL",61762,105.41,11.67,-3.27
"08/06/2022 00:05:00","MHK VL",61756,94.26,3.80,0.00
"08/06/2022 00:05:00","MILLWD",61759,99.06,8.60,0.00
"08/06/2022 00:05:00","N.Y.C.",61761,100.59,10.13,0.00
"08/06/2022 00:05:00","NORTH",61755,88.02,-2.44,0.00
"08/06/2022 00:05:00","NPX",61845,96.07,5.61,0.00
"08/06/2022 00:05:00","O H",61846,87.48,-2.98,0.00
"08/06/2022 00:05:00","PJM",61847,71.96,3.52,22.02
"08/06/2022 00:05:00","WEST",61752,89.47,-0.99,0.00
"08/06/2022 00:10:00","CAPITL",61757,95.89,7.11,0.00
"08/06/2022 00:10:00","CENTRL",61754,90.65,1.87,0.00
"08/06/2022 00:10:00","DUNWOD",61760,97.84,9.06,0.00
"08/06/2022 00:10:00","GENESE",61753,90.38,1.60,0.00
"08/06/2022 00:10:00","H Q",61844,86.20,-2.58,0.00
"08/06/2022 00:10:00","HUD VL",61758,96.32,7.54,0.00
"08/06/2022 00:10:00","LONGIL",61762,104.03,11.46,-3.80
"08/06/2022 00:10:00","MHK VL",61756,92.87,4.09,0.00
"08/06/2022 00:10:00","MILLWD",61759,97.22,8.44,0.00
"08/06/2022 00:10:00","N.Y.C.",61761,98.64,9.85,0.00
"08/06/2022 00:10:00","NORTH",61755,86.39,-2.39,0.00
"08/06/2022 00:10:00","NPX",61845,94.11,5.33,0.00
"08/06/2022 00:10:00","O H",61846,86.83,-1.95,0.00
"08/06/2022 00:10:00","PJM",61847,70.57,3.81,22.02
"08/06/2022 00:10:00","WEST",61752,88.78,0.00,0.00
"08/06/2022 00:15:00","CAPITL",61757,96.13,7.12,0.00
"08/06/2022 00:15:00","CENTRL",61754,90.42,1.42,0.00
