"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/14/2022 00:05:00","CAPITL",61757,59.81,4.74,0.00
"08/14/2022 00:05:00","CENTRL",61754,56.28,1.21,0.00
"08/14/2022 00:05:00","DUNWOD",61760,60.90,5.83,0.00
"08/14/2022 00:05:00","GENESE",61753,56.23,1.16,0.00
"08/14/2022 00:05:00","H Q",61844,53.47,-1.60,0.00
"08/14/2022 00:05:00","HUD VL",61758,60.13,5.06,0.00
"08/14/2022 00:05:00","LONGIL",61762,62.23,7.16,0.00
"08/14/2022 00:05:00","MHK VL",61756,57.38,2.31,0.00
"08/14/2022 00:05:00","MILLWD",61759,60.47,5.40,0.00
"08/14/2022 00:05:00","N.Y.C.",61761,61.18,6.11,0.00
"08/14/2022 00:05:00","NORTH",61755,53.58,-1.48,0.00
"08/14/2022 00:05:00","NPX",61845,58.87,3.80,0.00
"08/14/2022 00:05:00","O H",61846,55.46,0.39,0.00
"08/14/2022 00:05:00","PJM",61847,58.04,2.97,0.00
"08/14/2022 00:05:00","WEST",61752,56.50,1.43,0.00
"08/14/2022 00:10:00","CAPITL",61757,59.91,4.75,0.00
"08/14/2022 00:10:00","CENTRL",61754,56.33,1.16,0.00
"08/14/2022 00:10:00","DUNWOD",61760,60.90,5.74,0.00
"08/14/2022 00:10:00","GENESE",61753,56.21,1.05,0.00
"08/14/2022 00:10:00","H Q",61844,53.62,-1.54,0.00
"08/14/2022 00:10:00","HUD VL",61758,60.13,4.97,0.00
"08/14/2022 00:10:00","LONGIL",61762,62.12,6.95,0.00
"08/14/2022 00:10:00","MHK VL",61756,57.48,2.32,0.00
"08/14/2022 00:10:00","MILLWD",61759,60.46,5.30,0.00
"08/14/2022 00:10:00","N.Y.C.",61761,61.23,6.07,0.00
"08/14/2022 00:10:00","NORTH",61755,53.68,-1.49,0.00
"08/14/2022 00:10:00","NPX",61845,58.97,3.80,0.00
"08/14/2022 00:10:00","O H",61846,55.33,0.17,0.00
"08/14/2022 00:10:00","PJM",61847,58.03,2.87,0.00
"08/14/2022 00:10:00","WEST",61752,56.33,1.16,0.00
"08/14/2022 00:15:00","CAPITL",61757,62.97,4.88,0.00
"08/14/2022 00:15:00","CENTRL",61754,59.48,1.39,0.00
"08/14/2022 00:15:00","DUNWOD",61760,63.96,5.86,0.00
"08/14/2022 00:15:00","GENESE",61753,59.54,1.45,0.00
"08/14/2022 00:15:00","H Q",61844,56.40,-1.69,0.00
"08/14/2022 00:15:00","HUD VL",61758,63.20,5.11,0.00
"08/14/2022 00:15:00","LONGIL",61762,65.06,6.97,0.00
"08/14/2022 00:15:00","MHK VL",61756,60.47,2.38,0.00
"08/14/2022 00:15:00","MILLWD",61759,63.49,5.40,0.00
"08/14/2022 00:15:00","N.Y.C.",61761,64.25,6.15,0.00
"08/14/2022 00:15:00","NORTH",61755,56.47,-1.63,0.00
"08/14/2022 00:15:00","NPX",61845,61.92,3.83,0.00
"08/14/2022 00:15:00","O H",61846,58.79,0.70,0.00
"08/14/2022 00:15:00","PJM",61847,61.17,3.08,0.00
"08/14/2022 00:15:00","WEST",61752,59.89,1.80,0.00
"08/14/2022 00:20:00","CAPITL",61757,62.57,4.85,0.00
"08/14/2022 00:20:00","CENTRL",61754,59.22,1.50,0.00
"08/14/2022 00:20:00","DUNWOD",61760,63.61,5.89,0.00
"08/14/2022 00:20:00","GENESE",61753,59.16,1.44,0.00
"08/14/2022 00:20:00","H Q",61844,55.99,-1.73,0.00
"08/14/2022 00:20:00","HUD VL",61758,62.85,5.14,0.00
"08/14/2022 00:20:00","LONGIL",61762,64.64,6.92,0.00
"08/14/2022 00:20:00","MHK VL",61756,60.14,2.42,0.00
"08/14/2022 00:20:00","MILLWD",61759,63.14,5.42,0.00
"08/14/2022 00:20:00","N.Y.C.",61761,63.90,6.18,0.00
"08/14/2022 00:20:00","NORTH",61755,55.99,-1.73,0.00
"08/14/2022 00:20:00","NPX",61845,61.59,3.87,0.00
"08/14/2022 00:20:00","O H",61846,58.41,0.70,0.00
"08/14/2022 00:20:00","PJM",61847,60.95,3.23,0.00
"08/14/2022 00:20:00","WEST",61752,59.51,1.79,0.00
"08/14/2022 00:25:00","CAPITL",61757,62.92,4.88,0.00
"08/14/2022 00:25:00","CENTRL",61754,59.38,1.34,0.00
"08/14/2022 00:25:00","DUNWOD",61760,63.96,5.92,0.00
"08/14/2022 00:25:00","GENESE",61753,59.14,1.10,0.00
"08/14/2022 00:25:00","H Q",61844,56.36,-1.69,0.00
"08/14/2022 00:25:00","HUD VL",61758,63.15,5.11,0.00
"08/14/2022 00:25:00","LONGIL",61762,64.94,6.90,0.00
"08/14/2022 00:25:00","MHK VL",61756,60.42,2.38,0.00
"08/14/2022 00:25:00","MILLWD",61759,63.49,5.45,0.00
"08/14/2022 00:25:00","N.Y.C.",61761,64.25,6.21,0.00
"08/14/2022 00:25:00","NORTH",61755,56.36,-1.69,0.00
"08/14/2022 00:25:00","NPX",61845,61.93,3.89,0.00
"08/14/2022 00:25:00","O H",61846,58.22,0.17,0.00
"08/14/2022 00:25:00","PJM",61847,61.06,3.02,0.00
"08/14/2022 00:25:00","WEST",61752,59.38,1.34,0.00
"08/14/2022 00:30:00","CAPITL",61757,62.97,4.93,0.00
"08/14/2022 00:30:00","CENTRL",61754,59.38,1.34,0.00
"08/14/2022 00:30:00","DUNWOD",61760,63.90,5.86,0.00
"08/14/2022 00:30:00","GENESE",61753,59.14,1.10,0.00
"08/14/2022 00:30:00","H Q",61844,56.36,-1.69,0.00
"08/14/2022 00:30:00","HUD VL",61758,63.15,5.11,0.00
"08/14/2022 00:30:00","LONGIL",61762,64.89,6.85,0.00
"08/14/2022 00:30:00","MHK VL",61756,60.42,2.38,0.00
"08/14/2022 00:30:00","MILLWD",61759,63.44,5.40,0.00
"08/14/2022 00:30:00","N.Y.C.",61761,64.25,6.21,0.00
"08/14/2022 00:30:00","NORTH",61755,56.36,-1.69,0.00
"08/14/2022 00:30:00","NPX",61845,61.99,3.95,0.00
"08/14/2022 00:30:00","O H",61846,58.27,0.23,0.00
"08/14/2022 00:30:00","PJM",61847,61.06,3.02,0.00
"08/14/2022 00:30:00","WEST",61752,59.38,1.34,0.00
"08/14/2022 00:35:00","CAPITL",61757,63.48,5.03,0.00
"08/14/2022 00:35:00","CENTRL",61754,59.73,1.28,0.00
"08/14/2022 00:35:00","DUNWOD",61760,64.29,5.84,0.00
"08/14/2022 00:35:00","GENESE",61753,59.56,1.11,0.00
"08/14/2022 00:35:00","H Q",61844,56.75,-1.70,0.00
"08/14/2022 00:35:00","HUD VL",61758,63.53,5.08,0.00
"08/14/2022 00:35:00","LONGIL",61762,65.28,6.84,0.00
"08/14/2022 00:35:00","MHK VL",61756,60.85,2.40,0.00
"08/14/2022 00:35:00","MILLWD",61759,63.82,5.37,0.00
"08/14/2022 00:35:00","N.Y.C.",61761,64.59,6.14,0.00
"08/14/2022 00:35:00","NORTH",61755,56.75,-1.70,0.00
"08/14/2022 00:35:00","NPX",61845,62.43,3.98,0.00
"08/14/2022 00:35:00","O H",61846,58.74,0.29,0.00
"08/14/2022 00:35:00","PJM",61847,61.43,2.98,0.00
"08/14/2022 00:35:00","WEST",61752,59.79,1.35,0.00
