"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/23/2022 00:02:26","CAPITL",61757,86.10,6.53,0.00
"08/23/2022 00:02:26","CENTRL",61754,81.96,2.38,0.00
"08/23/2022 00:02:26","DUNWOD",61760,88.09,8.52,0.00
"08/23/2022 00:02:26","GENESE",61753,81.80,2.22,0.00
"08/23/2022 00:02:26","H Q",61844,77.26,-2.31,0.00
"08/23/2022 00:02:26","HUD VL",61758,87.05,7.48,0.00
"08/23/2022 00:02:26","LONGIL",61762,136.91,10.67,-46.67
"08/23/2022 00:02:26","MHK VL",61756,83.23,3.66,0.00
"08/23/2022 00:02:26","MILLWD",61759,87.61,8.03,0.00
"08/23/2022 00:02:26","N.Y.C.",61761,88.56,8.99,0.00
"08/23/2022 00:02:26","NORTH",61755,77.26,-2.31,0.00
"08/23/2022 00:02:26","NPX",61845,84.90,5.33,0.00
"08/23/2022 00:02:26","O H",61846,80.05,0.48,0.00
"08/23/2022 00:02:26","PJM",61847,84.27,4.69,0.00
"08/23/2022 00:02:26","WEST",61752,82.04,2.47,0.00
"08/23/2022 00:03:44","CAPITL",61757,101.38,8.03,4.58
"08/23/2022 00:03:44","CENTRL",61754,100.38,2.45,0.00
"08/23/2022 00:03:44","DUNWOD",61760,113.32,9.89,-5.50
"08/23/2022 00:03:44","GENESE",61753,99.89,1.96,0.00
"08/23/2022 00:03:44","H Q",61844,95.29,-2.64,0.00
"08/23/2022 00:03:44","HUD VL",61758,110.90,8.71,-4.25
"08/23/2022 00:03:44","LONGIL",61762,116.09,12.64,-5.52
"08/23/2022 00:03:44","MHK VL",61756,101.86,3.92,0.00
"08/23/2022 00:03:44","MILLWD",61759,112.74,9.40,-5.40
"08/23/2022 00:03:44","N.Y.C.",61761,114.21,10.77,-5.50
"08/23/2022 00:03:44","NORTH",61755,95.19,-2.74,0.00
"08/23/2022 00:03:44","NPX",61845,80.07,6.66,24.53
"08/23/2022 00:03:44","O H",61846,97.35,-0.58,0.00
"08/23/2022 00:03:44","PJM",61847,106.00,5.09,-2.98
"08/23/2022 00:03:44","WEST",61752,99.79,1.86,0.00
"08/23/2022 00:05:00","CAPITL",61757,101.36,7.94,4.61
"08/23/2022 00:05:00","CENTRL",61754,100.49,2.45,0.00
"08/23/2022 00:05:00","DUNWOD",61760,113.38,9.80,-5.54
"08/23/2022 00:05:00","GENESE",61753,100.10,2.06,0.00
"08/23/2022 00:05:00","H Q",61844,95.39,-2.64,0.00
"08/23/2022 00:05:00","HUD VL",61758,110.95,8.63,-4.28
"08/23/2022 00:05:00","LONGIL",61762,115.14,11.56,-5.54
"08/23/2022 00:05:00","MHK VL",61756,101.96,3.93,0.00
"08/23/2022 00:05:00","MILLWD",61759,112.79,9.32,-5.44
"08/23/2022 00:05:00","N.Y.C.",61761,114.27,10.69,-5.54
"08/23/2022 00:05:00","NORTH",61755,95.39,-2.64,0.00
"08/23/2022 00:05:00","NPX",61845,79.91,6.57,24.69
"08/23/2022 00:05:00","O H",61846,97.55,-0.49,0.00
"08/23/2022 00:05:00","PJM",61847,106.13,5.09,-3.00
"08/23/2022 00:05:00","WEST",61752,100.00,1.96,0.00
"08/23/2022 00:10:00","CAPITL",61757,101.36,7.94,4.61
"08/23/2022 00:10:00","CENTRL",61754,100.49,2.45,0.00
"08/23/2022 00:10:00","DUNWOD",61760,113.38,9.80,-5.54
"08/23/2022 00:10:00","GENESE",61753,100.10,2.06,0.00
"08/23/2022 00:10:00","H Q",61844,95.39,-2.64,0.00
