"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/29/2022 00:05:00","CAPITL",61757,82.49,5.90,0.00
"08/29/2022 00:05:00","CENTRL",61754,78.73,2.14,0.00
"08/29/2022 00:05:00","DUNWOD",61760,84.18,7.58,0.00
"08/29/2022 00:05:00","GENESE",61753,78.89,2.30,0.00
"08/29/2022 00:05:00","H Q",61844,74.07,-2.53,0.00
"08/29/2022 00:05:00","HUD VL",61758,83.03,6.43,0.00
"08/29/2022 00:05:00","LONGIL",61762,86.09,9.50,0.00
"08/29/2022 00:05:00","MHK VL",61756,79.04,2.45,0.00
"08/29/2022 00:05:00","MILLWD",61759,83.72,7.12,0.00
"08/29/2022 00:05:00","N.Y.C.",61761,84.48,7.89,0.00
"08/29/2022 00:05:00","NORTH",61755,73.76,-2.83,0.00
"08/29/2022 00:05:00","NPX",61845,81.19,4.60,0.00
"08/29/2022 00:05:00","O H",61846,77.06,0.46,0.00
"08/29/2022 00:05:00","PJM",61847,80.96,4.36,0.00
"08/29/2022 00:05:00","WEST",61752,78.73,2.14,0.00
"08/29/2022 00:10:00","CAPITL",61757,81.49,5.75,0.00
"08/29/2022 00:10:00","CENTRL",61754,77.79,2.05,0.00
"08/29/2022 00:10:00","DUNWOD",61760,83.01,7.27,0.00
"08/29/2022 00:10:00","GENESE",61753,77.94,2.20,0.00
"08/29/2022 00:10:00","H Q",61844,73.24,-2.50,0.00
"08/29/2022 00:10:00","HUD VL",61758,81.95,6.21,0.00
"08/29/2022 00:10:00","LONGIL",61762,84.90,9.16,0.00
"08/29/2022 00:10:00","MHK VL",61756,78.01,2.27,0.00
"08/29/2022 00:10:00","MILLWD",61759,82.70,6.96,0.00
"08/29/2022 00:10:00","N.Y.C.",61761,83.54,7.80,0.00
"08/29/2022 00:10:00","NORTH",61755,72.78,-2.96,0.00
"08/29/2022 00:10:00","NPX",61845,80.28,4.54,0.00
"08/29/2022 00:10:00","O H",61846,76.12,0.38,0.00
"08/29/2022 00:10:00","PJM",61847,80.05,4.31,0.00
"08/29/2022 00:10:00","WEST",61752,77.86,2.12,0.00
"08/29/2022 00:15:00","CAPITL",61757,81.50,5.90,0.00
"08/29/2022 00:15:00","CENTRL",61754,77.49,1.89,0.00
"08/29/2022 00:15:00","DUNWOD",61760,82.86,7.26,0.00
"08/29/2022 00:15:00","GENESE",61753,77.56,1.96,0.00
"08/29/2022 00:15:00","H Q",61844,73.10,-2.49,0.00
"08/29/2022 00:15:00","HUD VL",61758,81.80,6.20,0.00
"08/29/2022 00:15:00","LONGIL",61762,84.51,8.92,0.00
"08/29/2022 00:15:00","MHK VL",61756,77.79,2.19,0.00
"08/29/2022 00:15:00","MILLWD",61759,82.48,6.88,0.00
"08/29/2022 00:15:00","N.Y.C.",61761,83.46,7.86,0.00
"08/29/2022 00:15:00","NORTH",61755,72.72,-2.87,0.00
"08/29/2022 00:15:00","NPX",61845,80.21,4.61,0.00
"08/29/2022 00:15:00","O H",61846,75.67,0.08,0.00
"08/29/2022 00:15:00","PJM",61847,79.60,4.00,0.00
"08/29/2022 00:15:00","WEST",61752,77.26,1.66,0.00
"08/29/2022 00:20:00","CAPITL",61757,78.80,5.70,0.00
"08/29/2022 00:20:00","CENTRL",61754,74.84,1.75,0.00
"08/29/2022 00:20:00","DUNWOD",61760,80.11,7.02,0.00
"08/29/2022 00:20:00","GENESE",61753,74.92,1.83,0.00
"08/29/2022 00:20:00","H Q",61844,70.68,-2.41,0.00
"08/29/2022 00:20:00","HUD VL",61758,79.09,5.99,0.00
"08/29/2022 00:20:00","LONGIL",61762,81.64,8.55,0.00
"08/29/2022 00:20:00","MHK VL",61756,75.21,2.12,0.00
"08/29/2022 00:20:00","MILLWD",61759,79.74,6.65,0.00
"08/29/2022 00:20:00","N.Y.C.",61761,80.83,7.74,0.00
"08/29/2022 00:20:00","NORTH",61755,70.31,-2.78,0.00
"08/29/2022 00:20:00","NPX",61845,77.62,4.53,0.00
"08/29/2022 00:20:00","O H",61846,73.09,0.00,0.00
"08/29/2022 00:20:00","PJM",61847,76.96,3.87,0.00
"08/29/2022 00:20:00","WEST",61752,74.63,1.54,0.00
"08/29/2022 00:25:00","CAPITL",61757,78.50,5.54,0.00
"08/29/2022 00:25:00","CENTRL",61754,74.78,1.82,0.00
"08/29/2022 00:25:00","DUNWOD",61760,79.96,7.00,0.00
"08/29/2022 00:25:00","GENESE",61753,74.85,1.89,0.00
"08/29/2022 00:25:00","H Q",61844,70.55,-2.41,0.00
"08/29/2022 00:25:00","HUD VL",61758,78.94,5.98,0.00
"08/29/2022 00:25:00","LONGIL",61762,81.41,8.46,0.00
"08/29/2022 00:25:00","MHK VL",61756,75.07,2.12,0.00
"08/29/2022 00:25:00","MILLWD",61759,79.59,6.64,0.00
"08/29/2022 00:25:00","N.Y.C.",61761,80.68,7.73,0.00
"08/29/2022 00:25:00","NORTH",61755,70.11,-2.85,0.00
"08/29/2022 00:25:00","NPX",61845,77.48,4.52,0.00
"08/29/2022 00:25:00","O H",61846,73.10,0.15,0.00
"08/29/2022 00:25:00","PJM",61847,76.82,3.86,0.00
"08/29/2022 00:25:00","WEST",61752,74.63,1.68,0.00
"08/29/2022 00:30:00","CAPITL",61757,78.64,5.62,0.00
"08/29/2022 00:30:00","CENTRL",61754,74.62,1.60,0.00
"08/29/2022 00:30:00","DUNWOD",61760,80.10,7.08,0.00
"08/29/2022 00:30:00","GENESE",61753,74.62,1.60,0.00
"08/29/2022 00:30:00","H Q",61844,70.61,-2.41,0.00
"08/29/2022 00:30:00","HUD VL",61758,79.15,6.13,0.00
"08/29/2022 00:30:00","LONGIL",61762,81.63,8.61,0.00
"08/29/2022 00:30:00","MHK VL",61756,75.06,2.04,0.00
"08/29/2022 00:30:00","MILLWD",61759,79.81,6.79,0.00
"08/29/2022 00:30:00","N.Y.C.",61761,80.84,7.82,0.00
"08/29/2022 00:30:00","NORTH",61755,70.17,-2.85,0.00
"08/29/2022 00:30:00","NPX",61845,77.70,4.68,0.00
"08/29/2022 00:30:00","O H",61846,72.80,-0.22,0.00
"08/29/2022 00:30:00","PJM",61847,76.81,3.79,0.00
"08/29/2022 00:30:00","WEST",61752,74.26,1.24,0.00
"08/29/2022 00:35:00","CAPITL",61757,79.23,5.87,0.00
"08/29/2022 00:35:00","CENTRL",61754,74.90,1.54,0.00
"08/29/2022 00:35:00","DUNWOD",61760,80.47,7.11,0.00
"08/29/2022 00:35:00","GENESE",61753,74.97,1.61,0.00
"08/29/2022 00:35:00","H Q",61844,70.94,-2.42,0.00
"08/29/2022 00:35:00","HUD VL",61758,79.44,6.09,0.00
"08/29/2022 00:35:00","LONGIL",61762,81.86,8.51,0.00
"08/29/2022 00:35:00","MHK VL",61756,75.41,2.05,0.00
"08/29/2022 00:35:00","MILLWD",61759,80.10,6.74,0.00
"08/29/2022 00:35:00","N.Y.C.",61761,81.06,7.70,0.00
"08/29/2022 00:35:00","NORTH",61755,70.42,-2.94,0.00
"08/29/2022 00:35:00","NPX",61845,78.20,4.84,0.00
"08/29/2022 00:35:00","O H",61846,73.14,-0.22,0.00
"08/29/2022 00:35:00","PJM",61847,77.10,3.74,0.00
"08/29/2022 00:35:00","WEST",61752,74.53,1.17,0.00
"08/29/2022 00:40:00","CAPITL",61757,76.04,5.81,1.46
"08/29/2022 00:40:00","CENTRL",61754,73.21,1.51,0.00
"08/29/2022 00:40:00","DUNWOD",61760,80.18,6.95,-1.53
"08/29/2022 00:40:00","GENESE",61753,73.21,1.51,0.00
"08/29/2022 00:40:00","H Q",61844,69.34,-2.36,0.00
"08/29/2022 00:40:00","HUD VL",61758,78.79,5.95,-1.14
"08/29/2022 00:40:00","LONGIL",61762,81.55,8.31,-1.53
"08/29/2022 00:40:00","MHK VL",61756,73.71,2.00,0.00
"08/29/2022 00:40:00","MILLWD",61759,79.79,6.59,-1.50
"08/29/2022 00:40:00","N.Y.C.",61761,80.91,7.68,-1.53
"08/29/2022 00:40:00","NORTH",61755,68.76,-2.94,0.00
"08/29/2022 00:40:00","NPX",61845,69.01,4.80,7.50
"08/29/2022 00:40:00","O H",61846,71.42,-0.29,0.00
"08/29/2022 00:40:00","PJM",61847,76.09,3.58,-0.80
"08/29/2022 00:40:00","WEST",61752,72.85,1.14,0.00
"08/29/2022 00:45:00","CAPITL",61757,78.35,5.74,0.00
"08/29/2022 00:45:00","CENTRL",61754,74.14,1.53,0.00
"08/29/2022 00:45:00","DUNWOD",61760,79.74,7.12,0.00
"08/29/2022 00:45:00","GENESE",61753,74.07,1.45,0.00
"08/29/2022 00:45:00","H Q",61844,70.22,-2.39,0.00
"08/29/2022 00:45:00","HUD VL",61758,78.72,6.10,0.00
"08/29/2022 00:45:00","LONGIL",61762,81.04,8.42,0.00
"08/29/2022 00:45:00","MHK VL",61756,74.65,2.03,0.00
"08/29/2022 00:45:00","MILLWD",61759,79.37,6.75,0.00
"08/29/2022 00:45:00","N.Y.C.",61761,80.61,7.99,0.00
"08/29/2022 00:45:00","NORTH",61755,69.71,-2.91,0.00
"08/29/2022 00:45:00","NPX",61845,77.41,4.79,0.00
"08/29/2022 00:45:00","O H",61846,72.18,-0.43,0.00
"08/29/2022 00:45:00","PJM",61847,76.32,3.70,0.00
"08/29/2022 00:45:00","WEST",61752,73.56,0.94,0.00
"08/29/2022 00:50:00","CAPITL",61757,77.45,5.67,0.00
"08/29/2022 00:50:00","CENTRL",61754,73.22,1.44,0.00
"08/29/2022 00:50:00","DUNWOD",61760,78.96,7.18,0.00
"08/29/2022 00:50:00","GENESE",61753,73.22,1.44,0.00
"08/29/2022 00:50:00","H Q",61844,69.34,-2.44,0.00
"08/29/2022 00:50:00","HUD VL",61758,77.96,6.17,0.00
"08/29/2022 00:50:00","LONGIL",61762,80.25,8.47,0.00
"08/29/2022 00:50:00","MHK VL",61756,73.79,2.01,0.00
"08/29/2022 00:50:00","MILLWD",61759,78.60,6.82,0.00
"08/29/2022 00:50:00","N.Y.C.",61761,79.82,8.04,0.00
"08/29/2022 00:50:00","NORTH",61755,68.84,-2.95,0.00
"08/29/2022 00:50:00","NPX",61845,76.59,4.81,0.00
"08/29/2022 00:50:00","O H",61846,71.35,-0.43,0.00
"08/29/2022 00:50:00","PJM",61847,75.51,3.73,0.00
"08/29/2022 00:50:00","WEST",61752,72.79,1.00,0.00
"08/29/2022 00:55:00","CAPITL",61757,76.02,5.63,0.00
"08/29/2022 00:55:00","CENTRL",61754,71.72,1.33,0.00
"08/29/2022 00:55:00","DUNWOD",61760,77.57,7.18,0.00
"08/29/2022 00:55:00","GENESE",61753,71.58,1.20,0.00
"08/29/2022 00:55:00","H Q",61844,67.99,-2.39,0.00
"08/29/2022 00:55:00","HUD VL",61758,76.51,6.12,0.00
"08/29/2022 00:55:00","LONGIL",61762,78.76,8.37,0.00
"08/29/2022 00:55:00","MHK VL",61756,72.36,1.97,0.00
"08/29/2022 00:55:00","MILLWD",61759,77.21,6.83,0.00
