"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/16/2022 00:05:00","CAPITL",61757,70.88,5.33,1.10
"08/16/2022 00:05:00","CENTRL",61754,68.91,2.27,0.00
"08/16/2022 00:05:00","DUNWOD",61760,75.44,7.53,-1.26
"08/16/2022 00:05:00","GENESE",61753,68.64,2.00,0.00
"08/16/2022 00:05:00","H Q",61844,64.58,-2.07,0.00
"08/16/2022 00:05:00","HUD VL",61758,74.14,6.53,-0.96
"08/16/2022 00:05:00","LONGIL",61762,77.11,9.20,-1.27
"08/16/2022 00:05:00","MHK VL",61756,69.91,3.26,0.00
"08/16/2022 00:05:00","MILLWD",61759,74.88,7.00,-1.24
"08/16/2022 00:05:00","N.Y.C.",61761,76.04,8.13,-1.27
"08/16/2022 00:05:00","NORTH",61755,64.58,-2.07,0.00
"08/16/2022 00:05:00","NPX",61845,65.57,4.59,5.67
"08/16/2022 00:05:00","O H",61846,67.38,0.73,0.00
"08/16/2022 00:05:00","PJM",61847,71.79,4.47,-0.68
"08/16/2022 00:05:00","WEST",61752,69.24,2.60,0.00
"08/16/2022 00:10:00","CAPITL",61757,67.47,4.95,0.84
"08/16/2022 00:10:00","CENTRL",61754,65.40,2.03,0.00
"08/16/2022 00:10:00","DUNWOD",61760,71.31,6.97,-0.98
"08/16/2022 00:10:00","GENESE",61753,65.14,1.77,0.00
"08/16/2022 00:10:00","H Q",61844,61.40,-1.96,0.00
"08/16/2022 00:10:00","HUD VL",61758,70.14,6.02,-0.75
"08/16/2022 00:10:00","LONGIL",61762,72.90,8.55,-0.98
"08/16/2022 00:10:00","MHK VL",61756,66.28,2.92,0.00
"08/16/2022 00:10:00","MILLWD",61759,70.85,6.53,-0.96
"08/16/2022 00:10:00","N.Y.C.",61761,72.01,7.66,-0.98
"08/16/2022 00:10:00","NORTH",61755,61.34,-2.03,0.00
"08/16/2022 00:10:00","NPX",61845,63.30,4.31,4.38
"08/16/2022 00:10:00","O H",61846,63.94,0.57,0.00
"08/16/2022 00:10:00","PJM",61847,68.01,4.12,-0.53
"08/16/2022 00:10:00","WEST",61752,65.58,2.22,0.00
"08/16/2022 00:15:00","CAPITL",61757,67.33,5.06,0.97
"08/16/2022 00:15:00","CENTRL",61754,64.95,1.71,0.00
"08/16/2022 00:15:00","DUNWOD",61760,71.31,6.96,-1.12
"08/16/2022 00:15:00","GENESE",61753,64.95,1.71,0.00
"08/16/2022 00:15:00","H Q",61844,61.34,-1.90,0.00
"08/16/2022 00:15:00","HUD VL",61758,70.17,6.07,-0.85
"08/16/2022 00:15:00","LONGIL",61762,72.77,8.41,-1.12
"08/16/2022 00:15:00","MHK VL",61756,66.02,2.78,0.00
"08/16/2022 00:15:00","MILLWD",61759,70.91,6.58,-1.09
"08/16/2022 00:15:00","N.Y.C.",61761,72.07,7.71,-1.12
"08/16/2022 00:15:00","NORTH",61755,61.28,-1.96,0.00
"08/16/2022 00:15:00","NPX",61845,62.65,4.43,5.01
"08/16/2022 00:15:00","O H",61846,63.69,0.45,0.00
"08/16/2022 00:15:00","PJM",61847,67.83,3.99,-0.60
"08/16/2022 00:15:00","WEST",61752,65.26,2.02,0.00
"08/16/2022 00:20:00","CAPITL",61757,67.33,5.06,0.97
"08/16/2022 00:20:00","CENTRL",61754,64.95,1.71,0.00
"08/16/2022 00:20:00","DUNWOD",61760,71.31,6.96,-1.12
"08/16/2022 00:20:00","GENESE",61753,64.95,1.71,0.00
"08/16/2022 00:20:00","H Q",61844,61.34,-1.90,0.00
"08/16/2022 00:20:00","HUD VL",61758,70.11,6.01,-0.85
"08/16/2022 00:20:00","LONGIL",61762,72.64,8.28,-1.12
"08/16/2022 00:20:00","MHK VL",61756,66.02,2.78,0.00
"08/16/2022 00:20:00","MILLWD",61759,70.91,6.58,-1.09
"08/16/2022 00:20:00","N.Y.C.",61761,72.01,7.65,-1.12
"08/16/2022 00:20:00","NORTH",61755,61.28,-1.96,0.00
"08/16/2022 00:20:00","NPX",61845,62.72,4.49,5.01
"08/16/2022 00:20:00","O H",61846,63.74,0.50,0.00
"08/16/2022 00:20:00","PJM",61847,67.83,3.99,-0.60
"08/16/2022 00:20:00","WEST",61752,65.26,2.02,0.00
"08/16/2022 00:25:00","CAPITL",61757,67.27,5.06,1.03
"08/16/2022 00:25:00","CENTRL",61754,64.94,1.71,0.00
"08/16/2022 00:25:00","DUNWOD",61760,71.31,6.89,-1.19
"08/16/2022 00:25:00","GENESE",61753,64.88,1.64,0.00
"08/16/2022 00:25:00","H Q",61844,61.40,-1.84,0.00
"08/16/2022 00:25:00","HUD VL",61758,70.15,6.01,-0.91
"08/16/2022 00:25:00","LONGIL",61762,72.64,8.22,-1.19
"08/16/2022 00:25:00","MHK VL",61756,66.01,2.78,0.00
"08/16/2022 00:25:00","MILLWD",61759,70.91,6.51,-1.16
"08/16/2022 00:25:00","N.Y.C.",61761,72.01,7.58,-1.19
"08/16/2022 00:25:00","NORTH",61755,61.34,-1.90,0.00
"08/16/2022 00:25:00","NPX",61845,62.40,4.49,5.32
"08/16/2022 00:25:00","O H",61846,63.62,0.38,0.00
"08/16/2022 00:25:00","PJM",61847,67.80,3.92,-0.64
"08/16/2022 00:25:00","WEST",61752,65.20,1.96,0.00
"08/16/2022 00:30:00","CAPITL",61757,66.67,4.88,0.00
"08/16/2022 00:30:00","CENTRL",61754,63.64,1.85,0.00
"08/16/2022 00:30:00","DUNWOD",61760,68.46,6.68,0.00
"08/16/2022 00:30:00","GENESE",61753,63.46,1.67,0.00
"08/16/2022 00:30:00","H Q",61844,59.94,-1.85,0.00
"08/16/2022 00:30:00","HUD VL",61758,67.53,5.75,0.00
"08/16/2022 00:30:00","LONGIL",61762,69.64,7.85,0.00
