"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/26/2022 00:05:00","CAPITL",61757,81.11,5.45,2.29
"08/26/2022 00:05:00","CENTRL",61754,79.42,1.48,0.00
"08/26/2022 00:05:00","DUNWOD",61760,88.22,7.41,-2.87
"08/26/2022 00:05:00","GENESE",61753,79.50,1.56,0.00
"08/26/2022 00:05:00","H Q",61844,75.84,-2.10,0.00
"08/26/2022 00:05:00","HUD VL",61758,86.45,6.31,-2.20
"08/26/2022 00:05:00","LONGIL",61762,89.78,8.96,-2.88
"08/26/2022 00:05:00","MHK VL",61756,80.59,2.65,0.00
"08/26/2022 00:05:00","MILLWD",61759,87.85,7.09,-2.82
"08/26/2022 00:05:00","N.Y.C.",61761,88.92,8.11,-2.87
"08/26/2022 00:05:00","NORTH",61755,75.60,-2.34,0.00
"08/26/2022 00:05:00","NPX",61845,71.18,4.68,11.44
"08/26/2022 00:05:00","O H",61846,77.55,-0.39,0.00
"08/26/2022 00:05:00","PJM",61847,83.10,3.66,-1.50
"08/26/2022 00:05:00","WEST",61752,79.58,1.64,0.00
"08/26/2022 00:10:00","CAPITL",61757,81.25,5.46,2.29
"08/26/2022 00:10:00","CENTRL",61754,79.64,1.56,0.00
"08/26/2022 00:10:00","DUNWOD",61760,88.39,7.42,-2.88
"08/26/2022 00:10:00","GENESE",61753,79.64,1.56,0.00
"08/26/2022 00:10:00","H Q",61844,75.90,-2.19,0.00
"08/26/2022 00:10:00","HUD VL",61758,86.55,6.25,-2.21
"08/26/2022 00:10:00","LONGIL",61762,89.79,8.82,-2.89
"08/26/2022 00:10:00","MHK VL",61756,80.74,2.66,0.00
"08/26/2022 00:10:00","MILLWD",61759,87.94,7.03,-2.83
"08/26/2022 00:10:00","N.Y.C.",61761,89.01,8.04,-2.88
"08/26/2022 00:10:00","NORTH",61755,75.66,-2.42,0.00
"08/26/2022 00:10:00","NPX",61845,71.21,4.61,11.48
"08/26/2022 00:10:00","O H",61846,77.69,-0.39,0.00
"08/26/2022 00:10:00","PJM",61847,83.26,3.67,-1.50
"08/26/2022 00:10:00","WEST",61752,79.64,1.56,0.00
"08/26/2022 00:15:00","CAPITL",61757,85.88,5.54,0.00
"08/26/2022 00:15:00","CENTRL",61754,82.43,2.09,0.00
"08/26/2022 00:15:00","DUNWOD",61760,87.58,7.23,0.00
"08/26/2022 00:15:00","GENESE",61753,82.27,1.93,0.00
"08/26/2022 00:15:00","H Q",61844,78.01,-2.33,0.00
"08/26/2022 00:15:00","HUD VL",61758,86.45,6.10,0.00
"08/26/2022 00:15:00","LONGIL",61762,88.94,8.60,0.00
"08/26/2022 00:15:00","MHK VL",61756,83.15,2.81,0.00
"08/26/2022 00:15:00","MILLWD",61759,87.17,6.83,0.00
"08/26/2022 00:15:00","N.Y.C.",61761,88.22,7.88,0.00
"08/26/2022 00:15:00","NORTH",61755,77.69,-2.65,0.00
"08/26/2022 00:15:00","NPX",61845,84.76,4.42,0.00
"08/26/2022 00:15:00","O H",61846,80.42,0.08,0.00
"08/26/2022 00:15:00","PJM",61847,84.20,3.86,0.00
"08/26/2022 00:15:00","WEST",61752,82.67,2.33,0.00
"08/26/2022 00:20:00","CAPITL",61757,78.78,5.08,0.00
"08/26/2022 00:20:00","CENTRL",61754,75.69,1.99,0.00
"08/26/2022 00:20:00","DUNWOD",61760,80.40,6.71,0.00
"08/26/2022 00:20:00","GENESE",61753,75.54,1.84,0.00
"08/26/2022 00:20:00","H Q",61844,71.56,-2.14,0.00
"08/26/2022 00:20:00","HUD VL",61758,79.29,5.60,0.00
"08/26/2022 00:20:00","LONGIL",61762,81.50,7.81,0.00
"08/26/2022 00:20:00","MHK VL",61756,76.27,2.58,0.00
"08/26/2022 00:20:00","MILLWD",61759,80.03,6.34,0.00
"08/26/2022 00:20:00","N.Y.C.",61761,81.06,7.37,0.00
"08/26/2022 00:20:00","NORTH",61755,71.27,-2.43,0.00
"08/26/2022 00:20:00","NPX",61845,77.82,4.12,0.00
"08/26/2022 00:20:00","O H",61846,73.84,0.15,0.00
"08/26/2022 00:20:00","PJM",61847,77.31,3.61,0.00
"08/26/2022 00:20:00","WEST",61752,75.90,2.21,0.00
"08/26/2022 00:25:00","CAPITL",61757,78.28,4.99,0.00
"08/26/2022 00:25:00","CENTRL",61754,74.98,1.69,0.00
"08/26/2022 00:25:00","DUNWOD",61760,80.03,6.74,0.00
"08/26/2022 00:25:00","GENESE",61753,74.98,1.69,0.00
"08/26/2022 00:25:00","H Q",61844,71.24,-2.05,0.00
"08/26/2022 00:25:00","HUD VL",61758,78.94,5.64,0.00
"08/26/2022 00:25:00","LONGIL",61762,81.21,7.92,0.00
"08/26/2022 00:25:00","MHK VL",61756,75.79,2.49,0.00
"08/26/2022 00:25:00","MILLWD",61759,79.67,6.37,0.00
"08/26/2022 00:25:00","N.Y.C.",61761,80.84,7.55,0.00
"08/26/2022 00:25:00","NORTH",61755,70.94,-2.35,0.00
"08/26/2022 00:25:00","NPX",61845,77.47,4.18,0.00
"08/26/2022 00:25:00","O H",61846,73.29,0.00,0.00
"08/26/2022 00:25:00","PJM",61847,76.67,3.37,0.00
"08/26/2022 00:25:00","WEST",61752,75.19,1.90,0.00
"08/26/2022 00:30:00","CAPITL",61757,78.49,5.13,0.00
"08/26/2022 00:30:00","CENTRL",61754,74.82,1.47,0.00
"08/26/2022 00:30:00","DUNWOD",61760,80.03,6.67,0.00
"08/26/2022 00:30:00","GENESE",61753,74.97,1.61,0.00
"08/26/2022 00:30:00","H Q",61844,71.30,-2.05,0.00
"08/26/2022 00:30:00","HUD VL",61758,78.93,5.57,0.00
"08/26/2022 00:30:00","LONGIL",61762,81.06,7.70,0.00
"08/26/2022 00:30:00","MHK VL",61756,75.77,2.42,0.00
"08/26/2022 00:30:00","MILLWD",61759,79.67,6.31,0.00
"08/26/2022 00:30:00","N.Y.C.",61761,80.76,7.41,0.00
"08/26/2022 00:30:00","NORTH",61755,71.08,-2.27,0.00
"08/26/2022 00:30:00","NPX",61845,77.61,4.25,0.00
"08/26/2022 00:30:00","O H",61846,73.43,0.07,0.00
"08/26/2022 00:30:00","PJM",61847,76.51,3.15,0.00
"08/26/2022 00:30:00","WEST",61752,75.19,1.83,0.00
"08/26/2022 00:35:00","CAPITL",61757,78.86,5.23,0.00
"08/26/2022 00:35:00","CENTRL",61754,75.03,1.40,0.00
"08/26/2022 00:35:00","DUNWOD",61760,80.18,6.55,0.00
"08/26/2022 00:35:00","GENESE",61753,75.18,1.55,0.00
"08/26/2022 00:35:00","H Q",61844,71.65,-1.98,0.00
"08/26/2022 00:35:00","HUD VL",61758,79.16,5.53,0.00
"08/26/2022 00:35:00","LONGIL",61762,81.22,7.59,0.00
"08/26/2022 00:35:00","MHK VL",61756,76.06,2.43,0.00
"08/26/2022 00:35:00","MILLWD",61759,79.82,6.19,0.00
"08/26/2022 00:35:00","N.Y.C.",61761,80.92,7.29,0.00
"08/26/2022 00:35:00","NORTH",61755,71.42,-2.21,0.00
"08/26/2022 00:35:00","NPX",61845,77.97,4.34,0.00
"08/26/2022 00:35:00","O H",61846,73.56,-0.07,0.00
"08/26/2022 00:35:00","PJM",61847,76.65,3.02,0.00
"08/26/2022 00:35:00","WEST",61752,75.33,1.69,0.00
"08/26/2022 00:40:00","CAPITL",61757,76.68,5.15,0.00
"08/26/2022 00:40:00","CENTRL",61754,72.88,1.36,0.00
"08/26/2022 00:40:00","DUNWOD",61760,77.97,6.44,0.00
"08/26/2022 00:40:00","GENESE",61753,72.96,1.43,0.00
"08/26/2022 00:40:00","H Q",61844,69.60,-1.93,0.00
"08/26/2022 00:40:00","HUD VL",61758,76.90,5.37,0.00
"08/26/2022 00:40:00","LONGIL",61762,78.90,7.37,0.00
"08/26/2022 00:40:00","MHK VL",61756,73.82,2.29,0.00
"08/26/2022 00:40:00","MILLWD",61759,77.60,6.08,0.00
"08/26/2022 00:40:00","N.Y.C.",61761,78.68,7.15,0.00
"08/26/2022 00:40:00","NORTH",61755,69.38,-2.14,0.00
"08/26/2022 00:40:00","NPX",61845,75.82,4.29,0.00
"08/26/2022 00:40:00","O H",61846,71.39,-0.14,0.00
"08/26/2022 00:40:00","PJM",61847,74.46,2.93,0.00
