"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/01/2022 00:05:00","CAPITL",61757,65.74,4.76,0.00
"08/01/2022 00:05:00","CENTRL",61754,62.44,1.46,0.00
"08/01/2022 00:05:00","DUNWOD",61760,67.44,6.46,0.00
"08/01/2022 00:05:00","GENESE",61753,62.26,1.28,0.00
"08/01/2022 00:05:00","H Q",61844,59.15,-1.83,0.00
"08/01/2022 00:05:00","HUD VL",61758,66.34,5.37,0.00
"08/01/2022 00:05:00","LONGIL",61762,132.99,8.05,-63.96
"08/01/2022 00:05:00","MHK VL",61756,63.35,2.38,0.00
"08/01/2022 00:05:00","MILLWD",61759,66.96,5.98,0.00
"08/01/2022 00:05:00","N.Y.C.",61761,68.11,7.13,0.00
"08/01/2022 00:05:00","NORTH",61755,59.09,-1.89,0.00
"08/01/2022 00:05:00","NPX",61845,64.88,3.91,0.00
"08/01/2022 00:05:00","O H",61846,60.92,-0.06,0.00
"08/01/2022 00:05:00","PJM",61847,64.39,3.41,0.00
"08/01/2022 00:05:00","WEST",61752,62.20,1.22,0.00
"08/01/2022 00:10:00","CAPITL",61757,65.74,4.76,0.00
"08/01/2022 00:10:00","CENTRL",61754,62.26,1.28,0.00
"08/01/2022 00:10:00","DUNWOD",61760,67.38,6.40,0.00
"08/01/2022 00:10:00","GENESE",61753,62.08,1.10,0.00
"08/01/2022 00:10:00","H Q",61844,59.15,-1.83,0.00
"08/01/2022 00:10:00","HUD VL",61758,66.28,5.30,0.00
"08/01/2022 00:10:00","LONGIL",61762,130.99,7.99,-62.02
"08/01/2022 00:10:00","MHK VL",61756,63.23,2.26,0.00
"08/01/2022 00:10:00","MILLWD",61759,66.89,5.91,0.00
"08/01/2022 00:10:00","N.Y.C.",61761,68.05,7.07,0.00
"08/01/2022 00:10:00","NORTH",61755,59.02,-1.95,0.00
"08/01/2022 00:10:00","NPX",61845,64.88,3.91,0.00
"08/01/2022 00:10:00","O H",61846,60.73,-0.24,0.00
"08/01/2022 00:10:00","PJM",61847,64.15,3.17,0.00
"08/01/2022 00:10:00","WEST",61752,61.89,0.92,0.00
"08/01/2022 00:15:00","CAPITL",61757,66.51,4.70,0.00
"08/01/2022 00:15:00","CENTRL",61754,63.30,1.48,0.00
"08/01/2022 00:15:00","DUNWOD",61760,68.06,6.24,0.00
"08/01/2022 00:15:00","GENESE",61753,63.05,1.24,0.00
"08/01/2022 00:15:00","H Q",61844,59.97,-1.85,0.00
"08/01/2022 00:15:00","HUD VL",61758,67.01,5.19,0.00
"08/01/2022 00:15:00","LONGIL",61762,130.94,7.85,-61.27
"08/01/2022 00:15:00","MHK VL",61756,64.11,2.29,0.00
"08/01/2022 00:15:00","MILLWD",61759,67.57,5.75,0.00
"08/01/2022 00:15:00","N.Y.C.",61761,68.74,6.92,0.00
"08/01/2022 00:15:00","NORTH",61755,59.84,-1.98,0.00
"08/01/2022 00:15:00","NPX",61845,65.65,3.83,0.00
"08/01/2022 00:15:00","O H",61846,61.70,-0.12,0.00
"08/01/2022 00:15:00","PJM",61847,65.03,3.21,0.00
"08/01/2022 00:15:00","WEST",61752,62.93,1.11,0.00
"08/01/2022 00:20:00","CAPITL",61757,65.91,4.71,0.00
"08/01/2022 00:20:00","CENTRL",61754,62.73,1.53,0.00
"08/01/2022 00:20:00","DUNWOD",61760,67.44,6.25,0.00
"08/01/2022 00:20:00","GENESE",61753,62.36,1.16,0.00
"08/01/2022 00:20:00","H Q",61844,59.30,-1.90,0.00
"08/01/2022 00:20:00","HUD VL",61758,66.40,5.20,0.00
"08/01/2022 00:20:00","LONGIL",61762,130.94,7.90,-61.84
"08/01/2022 00:20:00","MHK VL",61756,63.46,2.27,0.00
"08/01/2022 00:20:00","MILLWD",61759,66.95,5.75,0.00
"08/01/2022 00:20:00","N.Y.C.",61761,68.11,6.91,0.00
"08/01/2022 00:20:00","NORTH",61755,59.18,-2.02,0.00
"08/01/2022 00:20:00","NPX",61845,65.06,3.86,0.00
"08/01/2022 00:20:00","O H",61846,61.02,-0.18,0.00
"08/01/2022 00:20:00","PJM",61847,64.50,3.30,0.00
"08/01/2022 00:20:00","WEST",61752,62.30,1.10,0.00
"08/01/2022 00:25:00","CAPITL",61757,66.40,4.81,0.00
"08/01/2022 00:25:00","CENTRL",61754,62.95,1.35,0.00
"08/01/2022 00:25:00","DUNWOD",61760,68.00,6.41,0.00
"08/01/2022 00:25:00","GENESE",61753,62.58,0.98,0.00
"08/01/2022 00:25:00","H Q",61844,59.68,-1.91,0.00
