"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/19/2022 00:05:00","CAPITL",61757,63.97,4.85,0.00
"08/19/2022 00:05:00","CENTRL",61754,60.65,1.53,0.00
"08/19/2022 00:05:00","DUNWOD",61760,65.80,6.68,0.00
"08/19/2022 00:05:00","GENESE",61753,60.42,1.30,0.00
"08/19/2022 00:05:00","H Q",61844,57.29,-1.83,0.00
"08/19/2022 00:05:00","HUD VL",61758,64.97,5.85,0.00
"08/19/2022 00:05:00","LONGIL",61762,67.33,8.21,0.00
"08/19/2022 00:05:00","MHK VL",61756,61.54,2.42,0.00
"08/19/2022 00:05:00","MILLWD",61759,65.45,6.33,0.00
"08/19/2022 00:05:00","N.Y.C.",61761,66.39,7.27,0.00
"08/19/2022 00:05:00","NORTH",61755,57.17,-1.95,0.00
"08/19/2022 00:05:00","NPX",61845,63.32,4.20,0.00
"08/19/2022 00:05:00","O H",61846,59.00,-0.12,0.00
"08/19/2022 00:05:00","PJM",61847,62.79,3.67,0.00
"08/19/2022 00:05:00","WEST",61752,60.42,1.30,0.00
"08/19/2022 00:10:00","CAPITL",61757,64.96,4.81,0.00
"08/19/2022 00:10:00","CENTRL",61754,61.71,1.56,0.00
"08/19/2022 00:10:00","DUNWOD",61760,66.82,6.68,0.00
"08/19/2022 00:10:00","GENESE",61753,61.53,1.38,0.00
"08/19/2022 00:10:00","H Q",61844,58.28,-1.86,0.00
"08/19/2022 00:10:00","HUD VL",61758,65.98,5.83,0.00
"08/19/2022 00:10:00","LONGIL",61762,68.21,8.06,0.00
"08/19/2022 00:10:00","MHK VL",61756,62.55,2.41,0.00
"08/19/2022 00:10:00","MILLWD",61759,66.52,6.37,0.00
"08/19/2022 00:10:00","N.Y.C.",61761,67.48,7.34,0.00
"08/19/2022 00:10:00","NORTH",61755,58.10,-2.05,0.00
"08/19/2022 00:10:00","NPX",61845,64.42,4.27,0.00
"08/19/2022 00:10:00","O H",61846,60.09,-0.06,0.00
"08/19/2022 00:10:00","PJM",61847,63.75,3.61,0.00
"08/19/2022 00:10:00","WEST",61752,61.53,1.38,0.00
"08/19/2022 00:15:00","CAPITL",61757,64.73,4.85,0.00
"08/19/2022 00:15:00","CENTRL",61754,61.38,1.50,0.00
"08/19/2022 00:15:00","DUNWOD",61760,66.41,6.53,0.00
"08/19/2022 00:15:00","GENESE",61753,61.55,1.67,0.00
"08/19/2022 00:15:00","H Q",61844,58.02,-1.86,0.00
"08/19/2022 00:15:00","HUD VL",61758,65.57,5.69,0.00
"08/19/2022 00:15:00","LONGIL",61762,67.66,7.78,0.00
"08/19/2022 00:15:00","MHK VL",61756,62.15,2.27,0.00
"08/19/2022 00:15:00","MILLWD",61759,66.05,6.17,0.00
"08/19/2022 00:15:00","N.Y.C.",61761,67.06,7.18,0.00
"08/19/2022 00:15:00","NORTH",61755,57.84,-2.04,0.00
"08/19/2022 00:15:00","NPX",61845,64.13,4.25,0.00
"08/19/2022 00:15:00","O H",61846,60.30,0.42,0.00
"08/19/2022 00:15:00","PJM",61847,63.41,3.53,0.00
"08/19/2022 00:15:00","WEST",61752,61.55,1.67,0.00
"08/19/2022 00:20:00","CAPITL",61757,64.04,4.75,0.00
"08/19/2022 00:20:00","CENTRL",61754,60.95,1.66,0.00
"08/19/2022 00:20:00","DUNWOD",61760,65.58,6.28,0.00
"08/19/2022 00:20:00","GENESE",61753,61.19,1.90,0.00
"08/19/2022 00:20:00","H Q",61844,57.46,-1.84,0.00
"08/19/2022 00:20:00","HUD VL",61758,64.75,5.45,0.00
"08/19/2022 00:20:00","LONGIL",61762,66.77,7.47,0.00
"08/19/2022 00:20:00","MHK VL",61756,61.55,2.25,0.00
"08/19/2022 00:20:00","MILLWD",61759,65.22,5.93,0.00
"08/19/2022 00:20:00","N.Y.C.",61761,66.17,6.88,0.00
"08/19/2022 00:20:00","NORTH",61755,57.28,-2.02,0.00
"08/19/2022 00:20:00","NPX",61845,63.38,4.09,0.00
"08/19/2022 00:20:00","O H",61846,60.06,0.77,0.00
"08/19/2022 00:20:00","PJM",61847,62.85,3.56,0.00
"08/19/2022 00:20:00","WEST",61752,61.37,2.07,0.00
"08/19/2022 00:25:00","CAPITL",61757,63.75,4.77,0.00
"08/19/2022 00:25:00","CENTRL",61754,60.50,1.53,0.00
"08/19/2022 00:25:00","DUNWOD",61760,65.22,6.25,0.00
"08/19/2022 00:25:00","GENESE",61753,60.91,1.94,0.00
"08/19/2022 00:25:00","H Q",61844,57.14,-1.83,0.00
"08/19/2022 00:25:00","HUD VL",61758,64.46,5.49,0.00
"08/19/2022 00:25:00","LONGIL",61762,66.46,7.49,0.00
"08/19/2022 00:25:00","MHK VL",61756,61.21,2.24,0.00
"08/19/2022 00:25:00","MILLWD",61759,64.92,5.95,0.00
"08/19/2022 00:25:00","N.Y.C.",61761,65.81,6.84,0.00
"08/19/2022 00:25:00","NORTH",61755,57.03,-1.94,0.00
"08/19/2022 00:25:00","NPX",61845,63.10,4.13,0.00
"08/19/2022 00:25:00","O H",61846,59.80,0.83,0.00
"08/19/2022 00:25:00","PJM",61847,62.45,3.48,0.00
"08/19/2022 00:25:00","WEST",61752,61.03,2.06,0.00
"08/19/2022 00:30:00","CAPITL",61757,64.22,4.87,0.00
"08/19/2022 00:30:00","CENTRL",61754,60.89,1.54,0.00
"08/19/2022 00:30:00","DUNWOD",61760,65.71,6.35,0.00
"08/19/2022 00:30:00","GENESE",61753,61.08,1.72,0.00
"08/19/2022 00:30:00","H Q",61844,57.51,-1.84,0.00
"08/19/2022 00:30:00","HUD VL",61758,64.87,5.52,0.00
"08/19/2022 00:30:00","LONGIL",61762,66.83,7.48,0.00
"08/19/2022 00:30:00","MHK VL",61756,61.61,2.25,0.00
"08/19/2022 00:30:00","MILLWD",61759,65.35,5.99,0.00
"08/19/2022 00:30:00","N.Y.C.",61761,66.29,6.94,0.00
"08/19/2022 00:30:00","NORTH",61755,57.34,-2.02,0.00
"08/19/2022 00:30:00","NPX",61845,63.63,4.28,0.00
"08/19/2022 00:30:00","O H",61846,59.89,0.53,0.00
"08/19/2022 00:30:00","PJM",61847,62.85,3.50,0.00
"08/19/2022 00:30:00","WEST",61752,61.20,1.84,0.00
"08/19/2022 00:35:00","CAPITL",61757,64.26,4.87,0.00
"08/19/2022 00:35:00","CENTRL",61754,61.05,1.66,0.00
"08/19/2022 00:35:00","DUNWOD",61760,65.63,6.23,0.00
"08/19/2022 00:35:00","GENESE",61753,61.24,1.84,0.00
"08/19/2022 00:35:00","H Q",61844,57.49,-1.90,0.00
"08/19/2022 00:35:00","HUD VL",61758,64.80,5.40,0.00
"08/19/2022 00:35:00","LONGIL",61762,66.64,7.24,0.00
"08/19/2022 00:35:00","MHK VL",61756,61.65,2.26,0.00
"08/19/2022 00:35:00","MILLWD",61759,65.27,5.88,0.00
"08/19/2022 00:35:00","N.Y.C.",61761,66.16,6.77,0.00
"08/19/2022 00:35:00","NORTH",61755,57.37,-2.02,0.00
"08/19/2022 00:35:00","NPX",61845,63.79,4.28,-0.11
"08/19/2022 00:35:00","O H",61846,60.16,0.77,0.00
"08/19/2022 00:35:00","PJM",61847,62.96,3.56,0.00
"08/19/2022 00:35:00","WEST",61752,61.47,2.08,0.00
"08/19/2022 00:40:00","CAPITL",61757,63.66,4.72,0.00
"08/19/2022 00:40:00","CENTRL",61754,60.77,1.83,0.00
"08/19/2022 00:40:00","DUNWOD",61760,64.83,5.89,0.00
"08/19/2022 00:40:00","GENESE",61753,61.00,2.06,0.00
"08/19/2022 00:40:00","H Q",61844,57.05,-1.89,0.00
"08/19/2022 00:40:00","HUD VL",61758,64.07,5.13,0.00
"08/19/2022 00:40:00","LONGIL",61762,65.78,6.83,0.00
"08/19/2022 00:40:00","MHK VL",61756,61.18,2.24,0.00
"08/19/2022 00:40:00","MILLWD",61759,64.54,5.60,0.00
"08/19/2022 00:40:00","N.Y.C.",61761,65.37,6.43,0.00
"08/19/2022 00:40:00","NORTH",61755,56.94,-2.00,0.00
"08/19/2022 00:40:00","NPX",61845,63.12,4.06,-0.11
"08/19/2022 00:40:00","O H",61846,60.12,1.18,0.00
"08/19/2022 00:40:00","PJM",61847,62.48,3.54,0.00
"08/19/2022 00:40:00","WEST",61752,61.47,2.53,0.00
"08/19/2022 00:45:00","CAPITL",61757,63.17,4.73,0.00
"08/19/2022 00:45:00","CENTRL",61754,60.14,1.70,0.00
"08/19/2022 00:45:00","DUNWOD",61760,64.46,6.02,0.00
"08/19/2022 00:45:00","GENESE",61753,60.37,1.93,0.00
"08/19/2022 00:45:00","H Q",61844,56.57,-1.87,0.00
"08/19/2022 00:45:00","HUD VL",61758,63.70,5.26,0.00
"08/19/2022 00:45:00","LONGIL",61762,65.39,6.95,0.00
"08/19/2022 00:45:00","MHK VL",61756,60.66,2.22,0.00
"08/19/2022 00:45:00","MILLWD",61759,64.17,5.73,0.00
"08/19/2022 00:45:00","N.Y.C.",61761,65.04,6.60,0.00
"08/19/2022 00:45:00","NORTH",61755,56.39,-2.05,0.00
"08/19/2022 00:45:00","NPX",61845,62.64,4.09,-0.11
"08/19/2022 00:45:00","O H",61846,59.37,0.93,0.00
"08/19/2022 00:45:00","PJM",61847,61.95,3.51,0.00
"08/19/2022 00:45:00","WEST",61752,60.66,2.22,0.00
"08/19/2022 00:50:00","CAPITL",61757,63.49,4.76,0.00
"08/19/2022 00:50:00","CENTRL",61754,60.38,1.64,0.00
"08/19/2022 00:50:00","DUNWOD",61760,64.79,6.05,0.00
"08/19/2022 00:50:00","GENESE",61753,60.56,1.82,0.00
"08/19/2022 00:50:00","H Q",61844,56.85,-1.88,0.00
"08/19/2022 00:50:00","HUD VL",61758,64.02,5.29,0.00
"08/19/2022 00:50:00","LONGIL",61762,65.72,6.99,0.00
"08/19/2022 00:50:00","MHK VL",61756,60.97,2.23,0.00
"08/19/2022 00:50:00","MILLWD",61759,64.49,5.76,0.00
"08/19/2022 00:50:00","N.Y.C.",61761,65.37,6.64,0.00
"08/19/2022 00:50:00","NORTH",61755,56.74,-2.00,0.00
"08/19/2022 00:50:00","NPX",61845,62.91,4.17,0.00
"08/19/2022 00:50:00","O H",61846,59.50,0.76,0.00
"08/19/2022 00:50:00","PJM",61847,62.20,3.46,0.00
"08/19/2022 00:50:00","WEST",61752,60.79,2.05,0.00
"08/19/2022 00:55:00","CAPITL",61757,61.01,4.67,0.00
"08/19/2022 00:55:00","CENTRL",61754,57.80,1.46,0.00
"08/19/2022 00:55:00","DUNWOD",61760,62.31,5.97,0.00
"08/19/2022 00:55:00","GENESE",61753,57.97,1.63,0.00
"08/19/2022 00:55:00","H Q",61844,54.53,-1.81,0.00
"08/19/2022 00:55:00","HUD VL",61758,61.58,5.24,0.00
"08/19/2022 00:55:00","LONGIL",61762,63.15,6.81,0.00
"08/19/2022 00:55:00","MHK VL",61756,58.48,2.14,0.00
"08/19/2022 00:55:00","MILLWD",61759,61.97,5.63,0.00
"08/19/2022 00:55:00","N.Y.C.",61761,62.81,6.48,0.00
"08/19/2022 00:55:00","NORTH",61755,54.31,-2.03,0.00
"08/19/2022 00:55:00","NPX",61845,60.51,4.17,0.00
"08/19/2022 00:55:00","O H",61846,56.90,0.56,0.00
"08/19/2022 00:55:00","PJM",61847,59.66,3.32,0.00
"08/19/2022 00:55:00","WEST",61752,58.09,1.75,0.00
"08/19/2022 01:00:00","CAPITL",61757,65.67,4.98,0.00
"08/19/2022 01:00:00","CENTRL",61754,62.21,1.52,0.00
"08/19/2022 01:00:00","DUNWOD",61760,66.94,6.25,0.00
"08/19/2022 01:00:00","GENESE",61753,62.09,1.40,0.00
"08/19/2022 01:00:00","H Q",61844,58.74,-1.94,0.00
