"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/30/2022 00:05:00","CAPITL",61757,133.31,8.15,-37.53
"08/30/2022 00:05:00","CENTRL",61754,89.11,1.49,0.00
"08/30/2022 00:05:00","DUNWOD",61760,109.75,10.25,-11.88
"08/30/2022 00:05:00","GENESE",61753,88.59,0.97,0.00
"08/30/2022 00:05:00","H Q",61844,66.27,-2.98,18.38
"08/30/2022 00:05:00","HUD VL",61758,108.66,8.85,-12.19
"08/30/2022 00:05:00","LONGIL",61762,111.79,12.27,-11.90
"08/30/2022 00:05:00","MHK VL",61756,79.35,3.15,11.43
"08/30/2022 00:05:00","MILLWD",61759,109.22,9.64,-11.96
"08/30/2022 00:05:00","N.Y.C.",61761,133.49,10.95,-34.91
"08/30/2022 00:05:00","NORTH",61755,-9.28,-3.51,93.40
"08/30/2022 00:05:00","NPX",61845,116.06,6.48,-21.95
"08/30/2022 00:05:00","O H",61846,85.44,-2.19,0.00
"08/30/2022 00:05:00","PJM",61847,99.28,4.55,-7.10
"08/30/2022 00:05:00","WEST",61752,88.88,-0.35,-1.60
"08/30/2022 00:10:00","CAPITL",61757,95.16,7.86,0.00
"08/30/2022 00:10:00","CENTRL",61754,88.89,1.57,-0.01
"08/30/2022 00:10:00","DUNWOD",61760,97.17,9.86,0.00
"08/30/2022 00:10:00","GENESE",61753,88.36,1.05,0.00
"08/30/2022 00:10:00","H Q",61844,64.96,-2.97,19.37
"08/30/2022 00:10:00","HUD VL",61758,95.86,8.56,0.00
"08/30/2022 00:10:00","LONGIL",61762,99.27,11.96,0.00
"08/30/2022 00:10:00","MHK VL",61756,77.99,2.88,12.19
"08/30/2022 00:10:00","MILLWD",61759,96.74,9.43,0.00
"08/30/2022 00:10:00","N.Y.C.",61761,122.53,10.74,-24.49
"08/30/2022 00:10:00","NORTH",61755,-12.73,-3.49,96.54
"08/30/2022 00:10:00","NPX",61845,93.67,6.37,0.00
"08/30/2022 00:10:00","O H",61846,85.35,-1.92,0.03
"08/30/2022 00:10:00","PJM",61847,92.01,4.71,0.01
"08/30/2022 00:10:00","WEST",61752,87.27,0.00,0.04
"08/30/2022 00:15:00","CAPITL",61757,150.17,6.50,-72.25
"08/30/2022 00:15:00","CENTRL",61754,72.64,1.21,0.00
"08/30/2022 00:15:00","DUNWOD",61760,121.90,7.93,-42.55
"08/30/2022 00:15:00","GENESE",61753,72.50,1.07,0.00
"08/30/2022 00:15:00","H Q",61844,54.19,-2.43,14.81
"08/30/2022 00:15:00","HUD VL",61758,117.87,6.86,-39.58
"08/30/2022 00:15:00","LONGIL",61762,123.52,9.50,-42.59
"08/30/2022 00:15:00","MHK VL",61756,64.47,2.35,9.31
"08/30/2022 00:15:00","MILLWD",61759,121.40,7.57,-42.40
"08/30/2022 00:15:00","N.Y.C.",61761,150.56,8.57,-70.57
