"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/22/2022 00:05:00","CAPITL",61757,70.58,5.83,0.00
"08/22/2022 00:05:00","CENTRL",61754,66.56,1.81,0.00
"08/22/2022 00:05:00","DUNWOD",61760,72.19,7.44,0.00
"08/22/2022 00:05:00","GENESE",61753,66.30,1.55,0.00
"08/22/2022 00:05:00","H Q",61844,62.81,-1.94,0.00
"08/22/2022 00:05:00","HUD VL",61758,71.29,6.54,0.00
"08/22/2022 00:05:00","LONGIL",61762,73.55,8.80,0.00
"08/22/2022 00:05:00","MHK VL",61756,67.60,2.85,0.00
"08/22/2022 00:05:00","MILLWD",61759,71.74,7.00,0.00
"08/22/2022 00:05:00","N.Y.C.",61761,72.58,7.83,0.00
"08/22/2022 00:05:00","NORTH",61755,62.81,-1.94,0.00
"08/22/2022 00:05:00","NPX",61845,69.47,4.72,0.00
"08/22/2022 00:05:00","O H",61846,64.88,0.13,0.00
"08/22/2022 00:05:00","PJM",61847,68.77,4.02,0.00
"08/22/2022 00:05:00","WEST",61752,66.37,1.62,0.00
"08/22/2022 00:10:00","CAPITL",61757,69.49,5.50,0.00
"08/22/2022 00:10:00","CENTRL",61754,65.71,1.73,0.00
"08/22/2022 00:10:00","DUNWOD",61760,71.08,7.10,0.00
"08/22/2022 00:10:00","GENESE",61753,65.39,1.41,0.00
"08/22/2022 00:10:00","H Q",61844,62.06,-1.92,0.00
"08/22/2022 00:10:00","HUD VL",61758,70.26,6.27,0.00
"08/22/2022 00:10:00","LONGIL",61762,72.49,8.51,0.00
"08/22/2022 00:10:00","MHK VL",61756,66.54,2.56,0.00
"08/22/2022 00:10:00","MILLWD",61759,70.76,6.78,0.00
"08/22/2022 00:10:00","N.Y.C.",61761,71.59,7.61,0.00
"08/22/2022 00:10:00","NORTH",61755,62.00,-1.98,0.00
"08/22/2022 00:10:00","NPX",61845,68.59,4.61,0.00
"08/22/2022 00:10:00","O H",61846,63.85,-0.13,0.00
"08/22/2022 00:10:00","PJM",61847,67.82,3.84,0.00
"08/22/2022 00:10:00","WEST",61752,65.33,1.35,0.00
"08/22/2022 00:15:00","CAPITL",61757,70.63,5.65,0.00
"08/22/2022 00:15:00","CENTRL",61754,66.28,1.30,0.00
"08/22/2022 00:15:00","DUNWOD",61760,72.06,7.08,0.00
"08/22/2022 00:15:00","GENESE",61753,65.89,0.91,0.00
"08/22/2022 00:15:00","H Q",61844,63.23,-1.75,0.00
"08/22/2022 00:15:00","HUD VL",61758,71.22,6.24,0.00
"08/22/2022 00:15:00","LONGIL",61762,73.42,8.44,0.00
"08/22/2022 00:15:00","MHK VL",61756,67.51,2.53,0.00
"08/22/2022 00:15:00","MILLWD",61759,71.74,6.76,0.00
"08/22/2022 00:15:00","N.Y.C.",61761,72.64,7.66,0.00
"08/22/2022 00:15:00","NORTH",61755,63.16,-1.82,0.00
"08/22/2022 00:15:00","NPX",61845,69.66,4.68,0.00
"08/22/2022 00:15:00","O H",61846,64.20,-0.78,0.00
"08/22/2022 00:15:00","PJM",61847,68.36,3.38,0.00
"08/22/2022 00:15:00","WEST",61752,65.63,0.65,0.00
"08/22/2022 00:20:00","CAPITL",61757,80.00,6.77,1.99
"08/22/2022 00:20:00","CENTRL",61754,76.88,1.65,0.00
"08/22/2022 00:20:00","DUNWOD",61760,86.18,8.57,-2.38
"08/22/2022 00:20:00","GENESE",61753,77.03,1.80,0.00
"08/22/2022 00:20:00","H Q",61844,72.89,-2.33,0.00
"08/22/2022 00:20:00","HUD VL",61758,84.65,7.59,-1.83
"08/22/2022 00:20:00","LONGIL",61762,87.76,10.15,-2.38
"08/22/2022 00:20:00","MHK VL",61756,78.24,3.01,0.00
"08/22/2022 00:20:00","MILLWD",61759,85.68,8.13,-2.33
"08/22/2022 00:20:00","N.Y.C.",61761,86.78,9.17,-2.38
"08/22/2022 00:20:00","NORTH",61755,72.67,-2.56,0.00
"08/22/2022 00:20:00","NPX",61845,70.37,5.79,10.65
"08/22/2022 00:20:00","O H",61846,75.38,0.15,0.00
"08/22/2022 00:20:00","PJM",61847,81.03,4.51,-1.29
"08/22/2022 00:20:00","WEST",61752,76.88,1.65,0.00
"08/22/2022 00:25:00","CAPITL",61757,68.96,5.69,0.71
"08/22/2022 00:25:00","CENTRL",61754,65.46,1.47,0.00
"08/22/2022 00:25:00","DUNWOD",61760,72.06,7.23,-0.85
"08/22/2022 00:25:00","GENESE",61753,65.58,1.60,0.00
"08/22/2022 00:25:00","H Q",61844,62.00,-1.98,0.00
"08/22/2022 00:25:00","HUD VL",61758,71.04,6.40,-0.66
"08/22/2022 00:25:00","LONGIL",61762,73.41,8.58,-0.85
"08/22/2022 00:25:00","MHK VL",61756,66.54,2.56,0.00
"08/22/2022 00:25:00","MILLWD",61759,71.73,6.91,-0.84
"08/22/2022 00:25:00","N.Y.C.",61761,72.64,7.80,-0.85
"08/22/2022 00:25:00","NORTH",61755,61.81,-2.18,0.00
"08/22/2022 00:25:00","NPX",61845,65.03,4.86,3.82
"08/22/2022 00:25:00","O H",61846,64.24,0.26,0.00
"08/22/2022 00:25:00","PJM",61847,68.22,3.77,-0.46
"08/22/2022 00:25:00","WEST",61752,65.52,1.53,0.00
"08/22/2022 00:30:00","CAPITL",61757,70.27,5.80,0.00
"08/22/2022 00:30:00","CENTRL",61754,66.07,1.61,0.00
"08/22/2022 00:30:00","DUNWOD",61760,71.74,7.28,0.00
"08/22/2022 00:30:00","GENESE",61753,66.07,1.61,0.00
"08/22/2022 00:30:00","H Q",61844,62.40,-2.07,0.00
"08/22/2022 00:30:00","HUD VL",61758,70.91,6.45,0.00
"08/22/2022 00:30:00","LONGIL",61762,73.10,8.64,0.00
"08/22/2022 00:30:00","MHK VL",61756,67.04,2.58,0.00
"08/22/2022 00:30:00","MILLWD",61759,71.43,6.96,0.00
"08/22/2022 00:30:00","N.Y.C.",61761,72.32,7.86,0.00
"08/22/2022 00:30:00","NORTH",61755,62.14,-2.32,0.00
"08/22/2022 00:30:00","NPX",61845,69.43,4.96,0.00
"08/22/2022 00:30:00","O H",61846,64.79,0.32,0.00
"08/22/2022 00:30:00","PJM",61847,68.39,3.93,0.00
"08/22/2022 00:30:00","WEST",61752,66.20,1.74,0.00
"08/22/2022 00:35:00","CAPITL",61757,70.64,5.89,0.00
"08/22/2022 00:35:00","CENTRL",61754,66.24,1.49,0.00
"08/22/2022 00:35:00","DUNWOD",61760,72.06,7.31,0.00
"08/22/2022 00:35:00","GENESE",61753,66.24,1.49,0.00
"08/22/2022 00:35:00","H Q",61844,62.68,-2.07,0.00
"08/22/2022 00:35:00","HUD VL",61758,71.22,6.47,0.00
"08/22/2022 00:35:00","LONGIL",61762,73.36,8.61,0.00
"08/22/2022 00:35:00","MHK VL",61756,67.27,2.52,0.00
"08/22/2022 00:35:00","MILLWD",61759,71.74,7.00,0.00
"08/22/2022 00:35:00","N.Y.C.",61761,72.65,7.90,0.00
"08/22/2022 00:35:00","NORTH",61755,62.48,-2.27,0.00
"08/22/2022 00:35:00","NPX",61845,69.86,5.11,0.00
"08/22/2022 00:35:00","O H",61846,64.88,0.13,0.00
"08/22/2022 00:35:00","PJM",61847,68.63,3.88,0.00
"08/22/2022 00:35:00","WEST",61752,66.24,1.49,0.00
"08/22/2022 00:40:00","CAPITL",61757,70.70,5.90,0.00
"08/22/2022 00:40:00","CENTRL",61754,66.36,1.55,0.00
"08/22/2022 00:40:00","DUNWOD",61760,72.06,7.26,0.00
"08/22/2022 00:40:00","GENESE",61753,66.43,1.62,0.00
"08/22/2022 00:40:00","H Q",61844,62.73,-2.08,0.00
"08/22/2022 00:40:00","HUD VL",61758,71.29,6.48,0.00
"08/22/2022 00:40:00","LONGIL",61762,73.55,8.75,0.00
"08/22/2022 00:40:00","MHK VL",61756,67.40,2.59,0.00
"08/22/2022 00:40:00","MILLWD",61759,71.74,6.94,0.00
"08/22/2022 00:40:00","N.Y.C.",61761,72.65,7.84,0.00
"08/22/2022 00:40:00","NORTH",61755,62.48,-2.33,0.00
"08/22/2022 00:40:00","NPX",61845,69.87,5.06,0.00
"08/22/2022 00:40:00","O H",61846,65.13,0.33,0.00
"08/22/2022 00:40:00","PJM",61847,68.76,3.95,0.00
"08/22/2022 00:40:00","WEST",61752,66.56,1.75,0.00
