"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/08/2022 00:05:00","CAPITL",61757,125.15,7.88,-26.64
"08/08/2022 00:05:00","CENTRL",61754,92.17,1.54,0.00
"08/08/2022 00:05:00","DUNWOD",61760,99.52,8.89,0.00
"08/08/2022 00:05:00","GENESE",61753,92.53,1.91,0.00
"08/08/2022 00:05:00","H Q",61844,88.09,-2.54,0.00
"08/08/2022 00:05:00","HUD VL",61758,98.06,7.43,0.00
"08/08/2022 00:05:00","LONGIL",61762,106.37,11.05,-4.69
"08/08/2022 00:05:00","MHK VL",61756,94.43,3.81,0.00
"08/08/2022 00:05:00","MILLWD",61759,98.87,8.25,0.00
"08/08/2022 00:05:00","N.Y.C.",61761,100.15,9.51,0.00
"08/08/2022 00:05:00","NORTH",61755,88.45,-2.18,0.00
"08/08/2022 00:05:00","NPX",61845,134.82,5.81,-38.39
"08/08/2022 00:05:00","O H",61846,89.18,-1.45,0.00
"08/08/2022 00:05:00","PJM",61847,79.66,2.99,13.95
"08/08/2022 00:05:00","WEST",61752,90.99,0.36,0.00
"08/08/2022 00:10:00","CAPITL",61757,98.35,7.53,0.00
"08/08/2022 00:10:00","CENTRL",61754,92.63,1.82,0.00
"08/08/2022 00:10:00","DUNWOD",61760,99.35,8.53,0.00
"08/08/2022 00:10:00","GENESE",61753,93.08,2.27,0.00
"08/08/2022 00:10:00","H Q",61844,88.18,-2.64,0.00
"08/08/2022 00:10:00","HUD VL",61758,97.90,7.09,0.00
"08/08/2022 00:10:00","LONGIL",61762,106.28,10.89,-4.58
"08/08/2022 00:10:00","MHK VL",61756,94.35,3.54,0.00
"08/08/2022 00:10:00","MILLWD",61759,98.89,8.08,0.00
"08/08/2022 00:10:00","N.Y.C.",61761,100.17,9.36,0.00
"08/08/2022 00:10:00","NORTH",61755,88.55,-2.27,0.00
"08/08/2022 00:10:00","NPX",61845,106.31,5.54,-9.96
"08/08/2022 00:10:00","O H",61846,89.99,-0.82,0.00
"08/08/2022 00:10:00","PJM",61847,80.22,3.36,13.95
"08/08/2022 00:10:00","WEST",61752,91.91,1.09,0.00
"08/08/2022 00:15:00","CAPITL",61757,98.23,7.52,0.00
"08/08/2022 00:15:00","CENTRL",61754,92.34,1.63,0.00
"08/08/2022 00:15:00","DUNWOD",61760,99.42,8.71,0.00
"08/08/2022 00:15:00","GENESE",61753,92.80,2.09,0.00
"08/08/2022 00:15:00","H Q",61844,88.07,-2.63,0.00
"08/08/2022 00:15:00","HUD VL",61758,97.87,7.16,0.00
"08/08/2022 00:15:00","LONGIL",61762,105.35,10.97,-3.67
"08/08/2022 00:15:00","MHK VL",61756,94.15,3.45,0.00
"08/08/2022 00:15:00","MILLWD",61759,98.88,8.17,0.00
"08/08/2022 00:15:00","N.Y.C.",61761,100.23,9.52,0.00
"08/08/2022 00:15:00","NORTH",61755,88.44,-2.26,0.00
"08/08/2022 00:15:00","NPX",61845,106.39,5.72,-9.96
"08/08/2022 00:15:00","O H",61846,89.62,-1.08,0.00
"08/08/2022 00:15:00","PJM",61847,80.01,3.26,13.95
"08/08/2022 00:15:00","WEST",61752,91.43,0.72,0.00
"08/08/2022 00:20:00","CAPITL",61757,125.01,7.62,-26.63
"08/08/2022 00:20:00","CENTRL",61754,92.12,1.36,0.00
"08/08/2022 00:20:00","DUNWOD",61760,99.47,8.71,0.00
"08/08/2022 00:20:00","GENESE",61753,92.57,1.81,0.00
"08/08/2022 00:20:00","H Q",61844,88.12,-2.63,0.00
"08/08/2022 00:20:00","HUD VL",61758,98.02,7.26,0.00
"08/08/2022 00:20:00","LONGIL",61762,105.26,10.98,-3.53
"08/08/2022 00:20:00","MHK VL",61756,94.11,3.36,0.00
"08/08/2022 00:20:00","MILLWD",61759,99.01,8.26,0.00
"08/08/2022 00:20:00","N.Y.C.",61761,106.39,9.44,-6.20
"08/08/2022 00:20:00","NORTH",61755,88.39,-2.36,0.00
"08/08/2022 00:20:00","NPX",61845,125.57,5.99,-28.83
"08/08/2022 00:20:00","O H",61846,89.39,-1.36,0.00
"08/08/2022 00:20:00","PJM",61847,93.74,2.99,0.00
"08/08/2022 00:20:00","WEST",61752,91.03,0.27,0.00
"08/08/2022 00:25:00","CAPITL",61757,124.86,7.70,-26.53
"08/08/2022 00:25:00","CENTRL",61754,92.07,1.45,0.00
