"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/28/2022 00:05:00","CAPITL",61757,79.18,5.53,0.00
"08/28/2022 00:05:00","CENTRL",61754,74.82,1.17,0.00
"08/28/2022 00:05:00","DUNWOD",61760,81.68,8.03,0.00
"08/28/2022 00:05:00","GENESE",61753,73.58,-0.07,0.00
"08/28/2022 00:05:00","H Q",61844,71.51,-2.14,0.00
"08/28/2022 00:05:00","HUD VL",61758,80.28,6.63,0.00
"08/28/2022 00:05:00","LONGIL",61762,83.52,9.87,0.00
"08/28/2022 00:05:00","MHK VL",61756,76.30,2.65,0.00
"08/28/2022 00:05:00","MILLWD",61759,81.08,7.44,0.00
"08/28/2022 00:05:00","N.Y.C.",61761,82.49,8.83,0.00
"08/28/2022 00:05:00","NORTH",61755,71.51,-2.14,0.00
"08/28/2022 00:05:00","NPX",61845,78.29,4.64,0.00
"08/28/2022 00:05:00","O H",61846,71.73,-1.92,0.00
"08/28/2022 00:05:00","PJM",61847,77.18,3.54,0.00
"08/28/2022 00:05:00","WEST",61752,73.28,-0.37,0.00
"08/28/2022 00:10:00","CAPITL",61757,78.10,5.31,0.00
"08/28/2022 00:10:00","CENTRL",61754,74.10,1.31,0.00
"08/28/2022 00:10:00","DUNWOD",61760,80.43,7.64,0.00
"08/28/2022 00:10:00","GENESE",61753,73.01,0.22,0.00
"08/28/2022 00:10:00","H Q",61844,70.67,-2.11,0.00
"08/28/2022 00:10:00","HUD VL",61758,79.12,6.33,0.00
"08/28/2022 00:10:00","LONGIL",61762,82.18,9.39,0.00
"08/28/2022 00:10:00","MHK VL",61756,75.33,2.55,0.00
"08/28/2022 00:10:00","MILLWD",61759,79.93,7.14,0.00
"08/28/2022 00:10:00","N.Y.C.",61761,81.23,8.44,0.00
"08/28/2022 00:10:00","NORTH",61755,70.67,-2.11,0.00
"08/28/2022 00:10:00","NPX",61845,77.23,4.44,0.00
"08/28/2022 00:10:00","O H",61846,71.40,-1.39,0.00
"08/28/2022 00:10:00","PJM",61847,76.21,3.42,0.00
"08/28/2022 00:10:00","WEST",61752,72.93,0.15,0.00
"08/28/2022 00:15:00","CAPITL",61757,79.86,5.29,0.00
"08/28/2022 00:15:00","CENTRL",61754,75.83,1.27,0.00
"08/28/2022 00:15:00","DUNWOD",61760,81.95,7.38,0.00
"08/28/2022 00:15:00","GENESE",61753,74.79,0.22,0.00
