"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/24/2022 00:05:00","CAPITL",61757,90.63,7.42,3.01
"08/24/2022 00:05:00","CENTRL",61754,87.78,1.55,0.00
"08/24/2022 00:05:00","DUNWOD",61760,99.68,9.83,-3.63
"08/24/2022 00:05:00","GENESE",61753,87.09,0.86,0.00
"08/24/2022 00:05:00","H Q",61844,83.72,-2.50,0.00
"08/24/2022 00:05:00","HUD VL",61758,97.68,8.62,-2.83
"08/24/2022 00:05:00","LONGIL",61762,102.11,12.24,-3.65
"08/24/2022 00:05:00","MHK VL",61756,89.68,3.45,0.00
"08/24/2022 00:05:00","MILLWD",61759,99.18,9.40,-3.56
"08/24/2022 00:05:00","N.Y.C.",61761,100.46,10.60,-3.64
"08/24/2022 00:05:00","NORTH",61755,83.38,-2.84,0.00
"08/24/2022 00:05:00","NPX",61845,76.51,6.55,16.26
"08/24/2022 00:05:00","O H",61846,84.33,-1.90,0.00
"08/24/2022 00:05:00","PJM",61847,92.76,4.57,-1.97
"08/24/2022 00:05:00","WEST",61752,86.22,0.00,0.00
"08/24/2022 00:10:00","CAPITL",61757,90.46,7.40,3.01
"08/24/2022 00:10:00","CENTRL",61754,87.62,1.55,0.00
"08/24/2022 00:10:00","DUNWOD",61760,99.51,9.81,-3.64
"08/24/2022 00:10:00","GENESE",61753,86.93,0.86,0.00
"08/24/2022 00:10:00","H Q",61844,83.57,-2.50,0.00
"08/24/2022 00:10:00","HUD VL",61758,97.51,8.61,-2.83
"08/24/2022 00:10:00","LONGIL",61762,101.85,12.14,-3.64
"08/24/2022 00:10:00","MHK VL",61756,89.51,3.45,0.00
"08/24/2022 00:10:00","MILLWD",61759,98.93,9.30,-3.56
"08/24/2022 00:10:00","N.Y.C.",61761,100.29,10.58,-3.64
"08/24/2022 00:10:00","NORTH",61755,83.13,-2.93,0.01
"08/24/2022 00:10:00","NPX",61845,76.33,6.54,16.28
"08/24/2022 00:10:00","O H",61846,84.09,-1.98,0.00
"08/24/2022 00:10:00","PJM",61847,92.59,4.56,-1.97
"08/24/2022 00:10:00","WEST",61752,85.98,-0.09,0.00
"08/24/2022 00:15:00","CAPITL",61757,92.52,7.01,0.00
"08/24/2022 00:15:00","CENTRL",61754,87.38,1.88,0.00
"08/24/2022 00:15:00","DUNWOD",61760,94.56,9.06,0.00
"08/24/2022 00:15:00","GENESE",61753,86.70,1.20,0.00
